,lemma,pos,token,annotation
2962,u,IN,us,O
2963,the,DT,the,O
2964,name,NN,names,O
2965,of,IN,of,O
2966,every,DT,every,O
2967,one,CD,one,O
2968,.,.,.,O
2969,We,PRP,We,O
2970,had,VBD,had,O
2971,gone,VBN,gone,O
2972,through,IN,through,O
2973,most,JJS,most,O
2974,of,IN,of,O
2975,the,DT,the,O
2976,room,NN,rooms,O
2977,",",",",",",O
2978,when,WRB,when,O
2979,we,PRP,we,O
2980,came,VBD,came,O
2981,to,TO,to,O
2982,the,DT,the,O
2983,old,JJ,old,O
2984,state,NN,state,O
2985,drawing-room,NN,drawing-room,O
2986,over,IN,over,O
2987,the,DT,the,O
2988,hall,NN,hall,O
2989,",",",",",",O
2990,and,CC,and,O
2991,there,RB,there,O
2992,wa,VB,was,O
2993,a,DT,a,O
2994,picture,NN,picture,O
2995,of,IN,of,O
2996,Miss,NNP,Miss,O
2997,Furnivall,NNP,Furnivall,O
2998,;,:,;,O
2999,or,CC,or,O
3000,",",",",",",O
3001,a,DT,as,O
3002,she,PRP,she,O
3003,wa,WDT,was,O
3004,called,VBD,called,O
3005,in,IN,in,O
3006,those,DT,those,O
3007,day,NN,days,O
3008,",",",",",",O
3009,Miss,NNP,Miss,O
3010,Grace,NNP,Grace,O
3011,",",",",",",O
3012,for,IN,for,O
3013,she,PRP,she,O
3014,wa,VBD,was,O
3015,the,DT,the,O
3016,younger,JJR,younger,O
3017,sister,NN,sister,O
3018,.,.,.,O
3019,Such,PDT,Such,O
3020,a,DT,a,O
3021,beauty,NN,beauty,O
3022,she,PRP,she,O
3023,must,MD,must,O
3024,have,VB,have,O
3025,been,VBN,been,O
3026,!,.,!,O
3027,but,CC,but,O
3028,with,IN,with,O
3029,such,JJ,such,O
3030,a,DT,a,O
3031,set,NN,set,O
3032,",",",",",",O
3033,proud,JJ,proud,O
3034,look,NN,look,O
3035,",",",",",",O
3036,and,CC,and,O
3037,such,JJ,such,O
3038,scorn,NNS,scorn,O
3039,looking,VBG,looking,O
3040,out,IN,out,O
3041,of,IN,of,O
3042,her,PRP$,her,O
3043,handsome,JJ,handsome,O
3044,eye,NN,eyes,O
3045,",",",",",",O
3046,with,IN,with,O
3047,her,PRP$,her,O
3048,eyebrow,NN,eyebrows,O
3049,just,RB,just,O
3050,a,DT,a,O
3051,little,JJ,little,O
3052,raised,VBN,raised,O
3053,",",",",",",O
3054,a,DT,as,O
3055,if,IN,if,O
3056,she,PRP,she,O
3057,wondered,VBD,wondered,O
3058,how,WRB,how,O
3059,anyone,NN,anyone,O
3060,could,MD,could,O
3061,have,VB,have,O
3062,the,DT,the,O
3063,impertinence,NN,impertinence,O
3064,to,TO,to,O
3065,look,VB,look,O
3066,at,IN,at,O
3067,her,PRP,her,O
3068,",",",",",",O
3069,and,CC,and,O
3070,her,PRP$,her,O
3071,lip,NN,lip,O
3072,curled,VBD,curled,O
3073,at,IN,at,O
3074,u,JJ,us,O
3075,",",",",",",O
3076,a,DT,as,O
3077,we,PRP,we,O
3078,stood,VBD,stood,O
3079,there,EX,there,O
3080,gazing,VBG,gazing,O
3081,.,.,.,O
3082,She,PRP,She,O
3083,had,VBD,had,O
3084,a,DT,a,O
3085,dress,NN,dress,O
3086,on,IN,on,O
3087,",",",",",",O
3088,the,DT,the,O
3089,like,NN,like,O
3090,of,IN,of,O
3091,which,WDT,which,O
3092,I,PRP,I,O
3093,had,VBD,had,O
3094,never,RB,never,O
3095,seen,VBN,seen,O
3096,before,IN,before,O
3097,",",",",",",O
3098,but,CC,but,O
3099,it,PRP,it,O
3100,wa,VBZ,was,O
3101,all,PDT,all,O
3102,the,DT,the,O
3103,fashion,NN,fashion,O
3104,when,WRB,when,O
3105,she,PRP,she,O
3106,wa,VBD,was,O
3107,young,JJ,young,O
3108,;,:,;,O
3109,a,DT,a,O
3110,hat,NN,hat,O
3111,of,IN,of,O
3112,some,DT,some,O
3113,soft,JJ,soft,O
3114,white,JJ,white,O
3115,stuff,NN,stuff,O
3116,like,IN,like,O
3117,beaver,NN,beaver,O
3118,",",",",",",O
3119,pulled,VBD,pulled,O
3120,a,DT,a,O
3121,little,JJ,little,O
3122,over,IN,over,O
3123,her,PRP$,her,O
3124,brow,NN,brows,O
3125,",",",",",",O
3126,and,CC,and,O
3127,a,DT,a,O
3128,beautiful,JJ,beautiful,O
3129,plume,NN,plume,O
3130,of,IN,of,O
3131,feather,NN,feathers,O
3132,sweeping,VBG,sweeping,O
3133,round,NN,round,O
3134,it,PRP,it,O
3135,on,IN,on,O
3136,one,CD,one,O
3137,side,NN,side,O
3138,;,:,;,O
3139,and,CC,and,O
3140,her,PRP$,her,O
3141,gown,NN,gown,O
3142,of,IN,of,O
3143,blue,JJ,blue,O
3144,satin,NN,satin,O
3145,wa,NN,was,O
3146,open,JJ,open,O
3147,in,IN,in,O
3148,front,NN,front,O
3149,to,TO,to,O
3150,a,DT,a,O
3151,quilted,JJ,quilted,O
3152,white,JJ,white,O
3153,stomacher,NN,stomacher,O
3154,.,.,.,O
3155,'Well,UH,'Well,O
3156,",",",",",",O
3157,to,TO,to,O
3158,be,VB,be,O
3159,sure,JJ,sure,O
3160,!,.,!,O
3161,','',',O
3162,said,VBD,said,O
3163,I,PRP,I,O
3164,",",",",",",O
3165,when,WRB,when,O
3166,I,PRP,I,O
3167,had,VBD,had,O
3168,gazed,VBN,gazed,O
3169,my,PRP$,my,O
3170,fill,NN,fill,O
3171,.,.,.,O
3172,'Flesh,CC,'Flesh,O
3173,is,VBZ,is,O
3174,grass,VBN,grass,O
3175,",",",",",",O
3176,they,PRP,they,O
3177,do,VBP,do,O
3178,say,VBP,say,O
3179,;,:,;,O
3180,but,CC,but,O
3181,who,WP,who,O
3182,would,MD,would,O
3183,have,VB,have,O
3184,thought,VBN,thought,O
3185,that,IN,that,O
3186,Miss,NNP,Miss,O
3187,Furnivall,NNP,Furnivall,O
3188,had,VBD,had,O
3189,been,VBN,been,O
3190,such,JJ,such,O
3191,an,DT,an,O
3192,out-and-out,JJ,out-and-out,O
3193,beauty,NN,beauty,O
3194,",",",",",",O
3195,to,TO,to,O
3196,see,VB,see,O
3197,her,PRP$,her,O
3198,now,RB,now,O
3199,.,.,.,O
3200,','',',O
3201,'Yes,CD,'Yes,O
3202,",",",",",",O
3203,','',',O
3204,said,VBD,said,O
3205,Dorothy,NNP,Dorothy,O
3206,.,.,.,O
3207,'Folks,NNS,'Folks,O
3208,change,VBP,change,O
3209,sadly,RB,sadly,O
3210,.,.,.,O
3211,But,CC,But,O
3212,if,IN,if,O
3213,what,WP,what,O
3214,my,PRP$,my,O
3215,master,NN,master,O
3216,'s,POS,'s,O
3217,father,NN,father,O
3218,used,VBN,used,O
3219,to,TO,to,O
3220,say,VB,say,O
3221,wa,NN,was,O
3222,true,JJ,true,O
3223,",",",",",",O
3224,Miss,NNP,Miss,O
3225,Furnivall,NNP,Furnivall,O
3226,",",",",",",O
3227,the,DT,the,O
3228,elder,NN,elder,O
3229,sister,NN,sister,O
3230,",",",",",",O
3231,wa,WP,was,O
3232,handsomer,JJR,handsomer,O
3233,than,IN,than,O
3234,Miss,NNP,Miss,O
3235,Grace,NNP,Grace,O
3236,.,.,.,O
3237,Her,PRP$,Her,O
3238,picture,NN,picture,O
3239,is,VBZ,is,O
3240,here,RB,here,O
3241,somewhere,RB,somewhere,O
3242,;,:,;,O
3243,but,CC,but,O
3244,",",",",",",O
3245,if,IN,if,O
3246,I,PRP,I,O
3247,show,VBP,show,O
3248,it,PRP,it,O
3249,you,PRP,you,O
3250,",",",",",",O
3251,you,PRP,you,O
3252,must,MD,must,O
3253,never,RB,never,O
3254,let,VB,let,O
3255,on,IN,on,O
3256,",",",",",",O
3257,even,RB,even,O
3258,to,TO,to,O
3259,James,NNP,James,O
3260,",",",",",",O
3261,that,IN,that,O
3262,you,PRP,you,O
3263,have,VBP,have,O
3264,seen,VBN,seen,O
3265,it,PRP,it,O
3266,.,.,.,O
3267,Can,MD,Can,O
3268,the,DT,the,O
3269,little,JJ,little,O
3270,lady,NN,lady,O
3271,hold,VB,hold,O
3272,her,PRP$,her,O
3273,tongue,NN,tongue,O
3274,",",",",",",O
3275,think,VB,think,O
3276,you,PRP,you,O
3277,?,.,?,O
3278,','',',O
3279,asked,VBD,asked,O
3280,she,PRP,she,O
3281,.,.,.,O
3282,I,PRP,I,O
3283,wa,VBP,was,O
3284,not,RB,not,O
3285,so,RB,so,O
3286,sure,JJ,sure,O
3287,",",",",",",O
3288,for,IN,for,O
3289,she,PRP,she,O
3290,wa,VBD,was,O
3291,such,PDT,such,O
3292,a,DT,a,O
3293,little,JJ,little,O
3294,sweet,JJ,sweet,O
3295,",",",",",",O
3296,bold,JJ,bold,O
3297,",",",",",",O
3298,open-spoken,JJ,open-spoken,O
3299,child,NN,child,O
3300,",",",",",",O
3301,so,IN,so,O
3302,I,PRP,I,O
3303,set,VBP,set,O
3304,her,PRP,her,O
3305,to,TO,to,O
3306,hide,VB,hide,O
3307,herself,PRP,herself,O
3308,;,:,;,O
3309,and,CC,and,O
3310,then,RB,then,O
3311,I,PRP,I,O
3312,helped,VBD,helped,O
3313,Dorothy,NNP,Dorothy,O
3314,to,TO,to,O
3315,turn,VB,turn,O
3316,a,DT,a,O
3317,great,JJ,great,O
3318,picture,NN,picture,O
3319,",",",",",",O
3320,that,WDT,that,O
3321,leaned,VBD,leaned,O
3322,with,IN,with,O
3323,it,PRP,its,O
3324,face,VBP,face,O
3325,towards,IN,towards,O
3326,the,DT,the,O
3327,wall,NN,wall,O
3328,",",",",",",O
3329,and,CC,and,O
3330,wa,VBZ,was,O
3331,not,RB,not,O
3332,hung,VBN,hung,O
3333,up,RP,up,O
3334,a,DT,as,O
3335,the,DT,the,O
3336,others,NNS,others,O
3337,were,VBD,were,O
3338,.,.,.,O
3339,To,TO,To,O
3340,be,VB,be,O
3341,sure,JJ,sure,O
3342,",",",",",",O
3343,it,PRP,it,O
3344,beat,VBD,beat,O
3345,Miss,NNP,Miss,O
3346,Grace,NNP,Grace,O
3347,for,IN,for,O
3348,beauty,NN,beauty,O
3349,;,:,;,O
3350,and,CC,and,O
3351,",",",",",",O
3352,I,PRP,I,O
3353,think,VBP,think,O
3354,",",",",",",O
3355,for,IN,for,O
3356,scornful,JJ,scornful,O
3357,pride,NN,pride,O
3358,",",",",",",O
3359,too,RB,too,O
3360,",",",",",",O
3361,though,IN,though,O
3362,in,IN,in,O
3363,that,DT,that,O
3364,matter,NN,matter,O
3365,it,PRP,it,O
3366,might,MD,might,O
3367,be,VB,be,O
3368,hard,JJ,hard,O
3369,to,TO,to,O
3370,choose,VB,choose,O
3371,.,.,.,O
3372,I,PRP,I,O
3373,could,MD,could,O
3374,have,VB,have,O
3375,looked,VBN,looked,O
3376,at,IN,at,O
3377,it,PRP,it,O
3378,an,DT,an,O
3379,hour,NN,hour,O
3380,",",",",",",O
3381,but,CC,but,O
3382,Dorothy,NNP,Dorothy,O
3383,seemed,VBD,seemed,O
3384,half,NN,half,O
3385,frightened,VBN,frightened,O
3386,at,IN,at,O
3387,having,VBG,having,O
3388,shown,VBN,shown,O
3389,it,PRP,it,O
3390,to,TO,to,O
3391,me,PRP,me,O
3392,",",",",",",O
3393,and,CC,and,O
3394,hurried,VBD,hurried,O
3395,it,PRP,it,O
3396,back,RB,back,O
3397,again,RB,again,O
3398,",",",",",",O
3399,and,CC,and,O
3400,bade,VB,bade,O
3401,me,PRP,me,O
3402,run,VB,run,O
3403,and,CC,and,O
3404,find,VB,find,O
3405,Miss,NNP,Miss,O
3406,Rosamond,NNP,Rosamond,O
3407,",",",",",",O
3408,for,IN,for,O
3409,that,DT,that,O
3410,there,EX,there,O
3411,were,VBD,were,O
3412,some,DT,some,O
3413,ugly,RB,ugly,O
3414,place,NN,places,O
3415,about,IN,about,O
3416,the,DT,the,O
3417,house,NN,house,O
3418,",",",",",",O
3419,where,WRB,where,O
3420,she,PRP,she,O
3421,should,MD,should,O
3422,like,VB,like,O
3423,ill,NN,ill,O
3424,for,IN,for,O
3425,the,DT,the,O
3426,child,NN,child,O
3427,to,TO,to,O
3428,go,VB,go,O
3429,.,.,.,O
3430,I,PRP,I,O
3431,wa,VBP,was,O
3432,a,DT,a,O
3433,brave,NN,brave,O
3434,",",",",",",O
3435,high-spirited,JJ,high-spirited,O
3436,girl,NN,girl,O
3437,",",",",",",O
3438,and,CC,and,O
3439,thought,VBD,thought,O
3440,little,RB,little,O
3441,of,IN,of,O
3442,what,WP,what,O
3443,the,DT,the,O
3444,old,JJ,old,O
3445,woman,NN,woman,O
3446,said,VBD,said,O
3447,",",",",",",O
3448,for,IN,for,O
3449,I,PRP,I,O
3450,liked,VBD,liked,O
3451,hide-and-seek,NN,hide-and-seek,O
3452,a,DT,as,O
3453,well,RB,well,O
3454,a,DT,as,O
3455,any,DT,any,O
3456,child,NN,child,O
3457,in,IN,in,O
3458,the,DT,the,O
3459,parish,NN,parish,O
3460,;,:,;,O
3461,so,CC,so,O
3462,off,IN,off,O
3463,I,PRP,I,O
3464,ran,VBD,ran,O
3465,to,TO,to,O
3466,find,VB,find,O
3467,my,PRP$,my,O
3468,little,JJ,little,O
3469,one,NN,one,O
3470,.,.,.,O
3471,As,IN,As,O
3472,winter,NN,winter,O
3473,drew,NN,drew,O
3474,on,IN,on,O
3475,",",",",",",O
3476,and,CC,and,O
3477,the,DT,the,O
3478,day,NN,days,O
3479,grew,VBD,grew,O
3480,shorter,JJR,shorter,O
3481,",",",",",",O
3482,I,PRP,I,O
3483,wa,VBP,was,O
3484,sometimes,RB,sometimes,O
3485,almost,RB,almost,O
3486,certain,JJ,certain,O
3487,that,IN,that,O
3488,I,PRP,I,O
3489,heard,VBD,heard,O
3490,a,DT,a,O
3491,noise,NN,noise,O
3492,a,DT,as,O
3493,if,IN,if,O
3494,someone,NN,someone,O
3495,wa,VBP,was,O
3496,playing,VBG,playing,O
3497,on,IN,on,O
3498,the,DT,the,O
3499,great,JJ,great,O
3500,organ,NN,organ,O
3501,in,IN,in,O
3502,the,DT,the,O
3503,hall,NN,hall,O
3504,.,.,.,O
3505,I,PRP,I,O
3506,did,VBD,did,O
3507,not,RB,not,O
3508,hear,VB,hear,O
3509,it,PRP,it,O
3510,every,DT,every,O
3511,evening,NN,evening,O
3512,;,:,;,O
3513,but,CC,but,O
3514,",",",",",",O
3515,certainly,RB,certainly,O
3516,",",",",",",O
3517,I,PRP,I,O
3518,did,VBD,did,O
3519,very,RB,very,O
3520,often,RB,often,O
3521,",",",",",",O
3522,usually,RB,usually,O
3523,when,WRB,when,O
3524,I,PRP,I,O
3525,wa,VBP,was,O
3526,sitting,VBG,sitting,O
3527,with,IN,with,O
3528,Miss,NNP,Miss,O
3529,Rosamond,NNP,Rosamond,O
3530,",",",",",",O
3531,after,IN,after,O
3532,I,PRP,I,O
3533,had,VBD,had,O
3534,put,VBN,put,O
3535,her,PRP$,her,O
3536,to,TO,to,O
3537,bed,NN,bed,O
3538,",",",",",",O
3539,and,CC,and,O
3540,keeping,VBG,keeping,O
3541,quite,RB,quite,O
3542,still,RB,still,O
3543,and,CC,and,O
3544,silent,JJ,silent,O
3545,in,IN,in,O
3546,the,DT,the,O
3547,bedroom,NN,bedroom,O
3548,.,.,.,O
3549,Then,RB,Then,O
3550,I,PRP,I,O
3551,used,VBD,used,O
3552,to,TO,to,O
3553,hear,VB,hear,O
3554,it,PRP,it,O
3555,booming,VBG,booming,O
3556,and,CC,and,O
3557,swelling,VBG,swelling,O
3558,away,RB,away,O
3559,in,IN,in,O
3560,the,DT,the,O
3561,distance,NN,distance,O
3562,.,.,.,O
3563,The,DT,The,O
3564,first,JJ,first,O
3565,night,NN,night,O
3566,",",",",",",O
3567,when,WRB,when,O
3568,I,PRP,I,O
3569,went,VBD,went,O
3570,down,RB,down,O
3571,to,TO,to,O
3572,my,PRP$,my,O
3573,supper,NN,supper,O
3574,",",",",",",O
3575,I,PRP,I,O
3576,asked,VBD,asked,O
3577,Dorothy,NNP,Dorothy,O
3578,who,WP,who,O
3579,had,VBD,had,O
3580,been,VBN,been,O
3581,playing,VBG,playing,O
3582,music,NN,music,O
3583,",",",",",",O
3584,and,CC,and,O
3585,James,NNP,James,O
3586,said,VBD,said,O
3587,very,RB,very,O
3588,shortly,RB,shortly,O
3589,that,IN,that,O
3590,I,PRP,I,O
3591,wa,VBP,was,O
3592,a,DT,a,O
3593,gowk,NN,gowk,O
3594,to,TO,to,O
3595,take,VB,take,O
3596,the,DT,the,O
3597,wind,NN,wind,O
3598,soughing,NN,soughing,O
3599,among,IN,among,O
3600,the,DT,the,O
3601,tree,NN,trees,O
3602,for,IN,for,O
3603,music,NN,music,O
3604,;,:,;,O
3605,but,CC,but,O
3606,I,PRP,I,O
3607,saw,VBD,saw,O
3608,Dorothy,NNP,Dorothy,O
3609,look,NN,look,O
3610,at,IN,at,O
3611,him,PRP,him,O
3612,very,RB,very,O
3613,fearfully,RB,fearfully,O
3614,",",",",",",O
3615,and,CC,and,O
3616,Bessy,NNP,Bessy,O
3617,",",",",",",O
3618,the,DT,the,O
3619,kitchen-maid,NN,kitchen-maid,O
3620,",",",",",",O
3621,said,VBD,said,O
3622,something,NN,something,O
3623,beneath,NN,beneath,O
3624,her,PRP$,her,O
3625,breath,NN,breath,O
3626,",",",",",",O
3627,and,CC,and,O
3628,went,VBD,went,O
3629,quite,RB,quite,O
3630,white,JJ,white,O
3631,.,.,.,O
3632,I,PRP,I,O
3633,saw,VBD,saw,O
3634,they,PRP,they,O
3635,did,VBD,did,O
3636,not,RB,not,O
3637,like,IN,like,O
3638,my,PRP$,my,O
3639,question,NN,question,O
3640,",",",",",",O
3641,so,IN,so,O
3642,I,PRP,I,O
3643,held,VBD,held,O
3644,my,PRP$,my,O
3645,peace,NN,peace,O
3646,till,NN,till,O
3647,I,PRP,I,O
3648,wa,VBP,was,O
3649,with,IN,with,O
3650,Dorothy,NNP,Dorothy,O
3651,alone,RB,alone,O
3652,",",",",",",O
3653,when,WRB,when,O
3654,I,PRP,I,O
3655,knew,VBD,knew,O
3656,I,PRP,I,O
3657,could,MD,could,O
3658,get,VB,get,O
3659,a,DT,a,O
3660,good,JJ,good,O
3661,deal,NN,deal,O
3662,out,IN,out,O
3663,of,IN,of,O
3664,her,PRP$,her,O
3665,.,.,.,O
3666,So,RB,So,O
3667,",",",",",",O
3668,the,DT,the,O
3669,next,JJ,next,O
3670,day,NN,day,O
3671,",",",",",",O
3672,I,PRP,I,O
3673,watched,VBD,watched,O
3674,my,PRP$,my,O
3675,time,NN,time,O
3676,",",",",",",O
3677,and,CC,and,O
3678,I,PRP,I,O
3679,coaxed,VBP,coaxed,O
3680,and,CC,and,O
3681,asked,VBD,asked,O
3682,her,PRP$,her,O
3683,who,WP,who,O
3684,it,PRP,it,O
3685,wa,VBD,was,O
3686,that,IN,that,O
3687,played,VBD,played,O
3688,the,DT,the,O
3689,organ,NN,organ,O
3690,;,:,;,O
3691,for,IN,for,O
3692,I,PRP,I,O
3693,knew,VBD,knew,O
3694,that,IN,that,O
3695,it,PRP,it,O
3696,wa,VBD,was,O
3697,the,DT,the,O
3698,organ,NN,organ,O
3699,and,CC,and,O
3700,not,RB,not,O
3701,the,DT,the,O
3702,wind,NN,wind,O
3703,well,RB,well,O
3704,enough,RB,enough,O
3705,",",",",",",O
3706,for,IN,for,O
3707,all,DT,all,O
3708,I,PRP,I,O
3709,had,VBD,had,O
3710,kept,VBN,kept,O
3711,silence,NN,silence,O
3712,before,IN,before,O
3713,James,NNP,James,O
3714,.,.,.,O
3715,But,CC,But,O
3716,Dorothy,NNP,Dorothy,O
3717,had,VBD,had,O
3718,had,VBN,had,O
3719,her,PRP$,her,O
3720,lesson,NN,lesson,O
3721,",",",",",",O
3722,I,PRP,I,O
3723,'ll,MD,'ll,O
3724,warrant,VB,warrant,O
3725,",",",",",",O
3726,and,CC,and,O
3727,never,RB,never,O
3728,a,DT,a,O
3729,word,NN,word,O
3730,could,MD,could,O
3731,I,PRP,I,O
3732,get,VB,get,O
3733,from,IN,from,O
3734,her,PRP$,her,O
3735,.,.,.,O
3736,So,IN,So,O
3737,then,RB,then,O
3738,I,PRP,I,O
3739,tried,VBD,tried,O
3740,Bessy,NNP,Bessy,O
3741,",",",",",",O
3742,though,IN,though,O
3743,I,PRP,I,O
3744,had,VBD,had,O
3745,always,RB,always,O
3746,held,VBN,held,O
3747,my,PRP$,my,O
3748,head,NN,head,O
3749,rather,RB,rather,O
3750,above,IN,above,O
3751,her,PRP,her,O
3752,",",",",",",O
3753,a,DT,as,O
3754,I,PRP,I,O
3755,wa,VBP,was,O
3756,evened,VBN,evened,O
3757,to,TO,to,O
3758,James,NNP,James,O
3759,and,CC,and,O
3760,Dorothy,NNP,Dorothy,O
3761,",",",",",",O
3762,and,CC,and,O
3763,she,PRP,she,O
3764,wa,VBD,was,O
3765,little,RB,little,O
3766,better,JJR,better,O
3767,than,IN,than,O
3768,their,PRP$,their,O
3769,servant,NN,servant,O
3770,.,.,.,O
3771,So,IN,So,O
3772,she,PRP,she,O
3773,said,VBD,said,O
3774,I,PRP,I,O
3775,must,MD,must,O
3776,never,RB,never,O
3777,",",",",",",O
3778,never,RB,never,O
3779,tell,VBP,tell,O
3780,;,:,;,O
3781,and,CC,and,O
3782,if,IN,if,O
3783,ever,RB,ever,O
3784,I,PRP,I,O
3785,told,VBD,told,O
3786,",",",",",",O
3787,I,PRP,I,O
3788,wa,VBP,was,O
3789,never,RB,never,O
3790,to,TO,to,O
3791,say,VB,say,O
3792,_she_,NN,_she_,O
3793,had,VBD,had,O
3794,told,VBN,told,O
3795,me,PRP,me,O
3796,;,:,;,O
3797,but,CC,but,O
3798,it,PRP,it,O
3799,wa,VBZ,was,O
3800,a,DT,a,O
3801,very,RB,very,O
3802,strange,JJ,strange,O
3803,noise,NN,noise,O
3804,",",",",",",O
3805,and,CC,and,O
3806,she,PRP,she,O
3807,had,VBD,had,O
3808,heard,VBN,heard,O
3809,it,PRP,it,O
3810,many,JJ,many,O
3811,a,DT,a,O
3812,time,NN,time,O
3813,",",",",",",O
3814,but,CC,but,O
3815,most,JJS,most,O
3816,of,IN,of,O
3817,all,DT,all,O
3818,on,IN,on,O
3819,winter,NN,winter,O
3820,night,NN,nights,O
3821,",",",",",",O
3822,and,CC,and,O
3823,before,IN,before,O
3824,storm,NN,storms,O
3825,;,:,;,O
3826,and,CC,and,O
3827,folk,NN,folks,O
3828,did,VBD,did,O
3829,say,VB,say,O
3830,it,PRP,it,O
3831,wa,VBZ,was,O
3832,the,DT,the,O
3833,old,JJ,old,O
3834,lord,NN,lord,O
3835,playing,NN,playing,O
3836,on,IN,on,O
3837,the,DT,the,O
3838,great,JJ,great,O
3839,organ,NN,organ,O
3840,in,IN,in,O
3841,the,DT,the,O
3842,hall,NN,hall,O
3843,",",",",",",O
3844,just,RB,just,O
3845,a,DT,as,O
3846,he,PRP,he,O
3847,used,VBD,used,O
3848,to,TO,to,O
3849,do,VB,do,O
3850,when,WRB,when,O
3851,he,PRP,he,O
3852,wa,VBD,was,O
3853,alive,JJ,alive,O
3854,;,:,;,O
3855,but,CC,but,O
3856,who,WP,who,O
3857,the,DT,the,O
3858,old,JJ,old,O
3859,lord,NN,lord,O
3860,wa,NN,was,O
3861,",",",",",",O
3862,or,CC,or,O
3863,why,WRB,why,O
3864,he,PRP,he,O
3865,played,VBD,played,O
3866,",",",",",",O
3867,and,CC,and,O
3868,why,WRB,why,O
3869,he,PRP,he,O
3870,played,VBD,played,O
3871,on,IN,on,O
3872,stormy,NN,stormy,O
3873,winter,NN,winter,O
3874,evening,NN,evenings,O
3875,in,IN,in,O
3876,particular,JJ,particular,O
3877,",",",",",",O
3878,she,PRP,she,O
3879,either,RB,either,O
3880,could,MD,could,O
3881,not,RB,not,O
3882,or,CC,or,O
3883,would,MD,would,O
3884,not,RB,not,O
3885,tell,VB,tell,O
3886,me,PRP,me,O
3887,.,.,.,O
3888,Well,UH,Well,O
3889,!,.,!,O
3890,I,PRP,I,O
3891,told,VBD,told,O
3892,you,PRP,you,O
3893,I,PRP,I,O
3894,had,VBD,had,O
3895,a,DT,a,O
3896,brave,JJ,brave,O
3897,heart,NN,heart,O
3898,;,:,;,O
3899,and,CC,and,O
3900,I,PRP,I,O
3901,thought,VBD,thought,O
3902,it,PRP,it,O
3903,wa,VBZ,was,O
3904,rather,RB,rather,O
3905,pleasant,JJ,pleasant,O
3906,to,TO,to,O
3907,have,VB,have,O
3908,that,DT,that,O
3909,grand,JJ,grand,O
3910,music,NN,music,O
3911,rolling,VBG,rolling,O
3912,about,IN,about,O
3913,the,DT,the,O
3914,house,NN,house,O
3915,",",",",",",O
3916,let,VB,let,O
3917,who,WP,who,O
3918,would,MD,would,O
3919,be,VB,be,O
3920,the,DT,the,O
3921,player,NN,player,O
3922,;,:,;,O
3923,for,IN,for,O
3924,now,RB,now,O
3925,it,PRP,it,O
3926,rose,VBD,rose,O
3927,above,IN,above,O
3928,the,DT,the,O
3929,great,JJ,great,O
3930,gust,NN,gusts,O
3931,of,IN,of,O
3932,wind,NN,wind,O
3933,",",",",",",O
3934,and,CC,and,O
3935,wailed,VBD,wailed,O
3936,and,CC,and,O
3937,triumphed,VBD,triumphed,O
3938,just,RB,just,O
3939,like,IN,like,O
3940,a,DT,a,O
3941,living,NN,living,O
3942,creature,NN,creature,O
3943,",",",",",",O
3944,and,CC,and,O
3945,then,RB,then,O
3946,it,PRP,it,O
3947,fell,VBD,fell,O
3948,to,TO,to,O
3949,a,DT,a,O
3950,softness,NN,softness,O
3951,most,RBS,most,O
3952,complete,JJ,complete,O
3953,",",",",",",O
3954,only,RB,only,O
3955,it,PRP,it,O
3956,wa,VBZ,was,O
3957,always,RB,always,O
3958,music,NN,music,O
3959,",",",",",",O
3960,and,CC,and,O
3961,tune,NN,tunes,O
3962,",",",",",",O
3963,so,IN,so,O
3964,it,PRP,it,O
3965,wa,VBZ,was,O
3966,nonsense,JJ,nonsense,O
3967,to,TO,to,O
3968,call,VB,call,O
3969,it,PRP,it,O
3970,the,DT,the,O
3971,wind,NN,wind,O
3972,.,.,.,O
3973,I,PRP,I,O
3974,thought,VBD,thought,O
3975,at,IN,at,O
3976,first,JJ,first,O
3977,",",",",",",O
3978,that,IN,that,O
3979,it,PRP,it,O
3980,might,MD,might,O
3981,be,VB,be,O
3982,Miss,NNP,Miss,O
3983,Furnivall,NNP,Furnivall,O
3984,who,WP,who,O
3985,played,VBD,played,O
3986,",",",",",",O
3987,unknown,JJ,unknown,O
3988,to,TO,to,O
3989,Bessy,NNP,Bessy,O
3990,;,:,;,O
3991,but,CC,but,O
3992,one,CD,one,O
3993,day,NN,day,O
3994,",",",",",",O
3995,when,WRB,when,O
3996,I,PRP,I,O
3997,wa,VBP,was,O
3998,in,IN,in,O
3999,the,DT,the,O
4000,hall,NN,hall,O
4001,by,IN,by,O
4002,myself,PRP,myself,O
4003,",",",",",",O
4004,I,PRP,I,O
4005,opened,VBD,opened,O
4006,the,DT,the,O
4007,organ,NN,organ,O
4008,and,CC,and,O
4009,peeped,VBD,peeped,O
4010,all,DT,all,O
4011,about,IN,about,O
4012,it,PRP,it,O
4013,and,CC,and,O
4014,around,IN,around,O
4015,it,PRP,it,O
4016,",",",",",",O
4017,a,DT,as,O
4018,I,PRP,I,O
4019,had,VBD,had,O
4020,done,VBN,done,O
4021,to,TO,to,O
4022,the,DT,the,O
4023,organ,NN,organ,O
4024,in,IN,in,O
4025,Crosthwaite,NNP,Crosthwaite,O
4026,church,NN,church,O
4027,once,RB,once,O
4028,before,RB,before,O
4029,",",",",",",O
4030,and,CC,and,O
4031,I,PRP,I,O
4032,saw,VBD,saw,O
